1649794023665,B,39405.38,0.02924,I
1649794023762,S,39405.96,0.00973,I
1649794023764,S,39405.96,0.00458,I
1649794023777,B,5043522.0,0.01,F
1649794023797,B,39405.97,0.00959,I
1649794024101,S,39387.0,0.1632,T
1649794024101,S,39387.0,0.02,T
1649794024101,S,39387.0,0.1649,T
1649794024101,S,39387.0,0.1,T
1649794024101,S,39387.0,0.3484,T
1649794024103,B,39388.0,0.0017,T
1649794024103,B,39388.0,0.0237,T
1649794024104,B,39388.0,0.073,T
1649794024104,B,39388.0,0.007,T
1649794024104,B,39389.0,0.13,T
1649794024104,B,39389.0,0.14,T
1649794024104,B,39389.0,0.16,T
1649794024104,B,39389.0,0.0184,T
1649794024104,B,39390.0,0.1416,T
1649794024104,B,39390.0,0.21,T
1649794024105,B,39388.0,0.129,T
1649794024105,B,39390.0,0.081,T
1649794024107,B,39391.0,0.2,T
1649794024108,B,39391.0,0.1321,T
1649794024108,B,39391.0,0.0279,T
1649794024108,B,39391.0,0.14,T
1649794024112,S,39391.0,0.0546,T
1649794024146,B,39406.39,0.0005,I
1649794024147,B,39406.89,0.00027,I
1649794024160,B,39406.89,0.00049,I
1649794024192,B,39406.89,0.00662,I
1649794024285,B,39392.0,0.1491,T
1649794024286,B,39392.0,0.0911,T
1649794024286,B,39393.0,0.1882,T
1649794024286,B,39393.0,0.1992,T
1649794024286,B,39394.0,0.2504,T
1649794024286,B,39394.0,0.2711,T
1649794024340,B,39393.0,0.1181,T
1649794024431,S,39406.88,0.0031,I
1649794024438,B,39387.0,15491.0,B
1649794024494,B,5043536.0,0.013,F
1649794024494,B,5043673.0,0.007,F
1649794024538,B,39387.0,4214.0,B
1649794024552,S,39406.88,0.0007,I
1649794024621,B,39395.0,0.0782,T
1649794024675,B,39395.0,0.0254,T
1649794024741,B,39387.0,14161.0,B
1649794024901,S,39406.88,0.00043,I
1649794024924,S,39394.0,0.0062,T
1649794025217,S,39406.88,0.0024,I
1649794025509,B,39395.0,0.0254,T
